"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"DTYS","iPath US Treasury 10-year Bear ETN","17.58","$49.63M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtys","NASDAQ"
"DTYL","iPath US Treasury 10-year Bull ETN","76.61","$5.27M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtyl","NASDAQ"
"DTUS","iPath US Treasury 2-year Bear ETN","30.5858","$7.64M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtus","NASDAQ"
"DTUL","iPath US Treasury 2-year Bull ETN","63.84","$3.77M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtul","NASDAQ"
"DFVS","iPath US Treasury 5-year Bear Exchange Traded Note","29.75","$2.36M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvs","NASDAQ"
"DFVL","iPath US Treasury 5-year Bull ETN","64.3","$4.61M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvl","NASDAQ"
"FLAT","iPath US Treasury Flattener ETN","60","$3.37M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/flat","NASDAQ"
"DLBS","iPath US Treasury Long Bond Bear ETN","18.27","$20.58M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbs","NASDAQ"
"DLBL","iPath US Treasury Long Bond Bull ETN","74.42","$5.25M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbl","NASDAQ"
"STPP","iPath US Treasury Steepener ETN","33.91","$3.65M","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/stpp","NASDAQ"
"IPGP","IPG Photonics Corporation","119.96","$6.41B","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/ipgp","NASDAQ"
"IRMD","iRadimed Corporation","8.325","$89.4M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/irmd","NASDAQ"
"IRTC","iRhythm Technologies, Inc.","36.9","$817.43M","2016","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/irtc","NASDAQ"
"IRIX","IRIDEX Corporation","10.69","$123.19M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/irix","NASDAQ"
"IRDM","Iridium Communications Inc","10.1","$983.55M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/irdm","NASDAQ"
"IRDMB","Iridium Communications Inc","354","$177M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/irdmb","NASDAQ"
"IRBT","iRobot Corporation","67.27","$1.83B","2005","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/irbt","NASDAQ"
"IRWD","Ironwood Pharmaceuticals, Inc.","15.905","$2.35B","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/irwd","NASDAQ"
"IRCP","IRSA Propiedades Comerciales S.A.","44.75","$1.41B","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/ircp","NASDAQ"
"PMPT","iSectors Post-MPT Growth ETF","24.74","$9.9M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/pmpt","NASDAQ"
"SLQD","iShares 0-5 Year Investment Grade Corporate Bond ETF","50.42","$340.34M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/slqd","NASDAQ"
